loop,attempt,username,status,timestamp,message
1,1,08341,error,06:49:00.424,"Message: 
"
2,1,08341,error,06:49:12.735,"Message: element click intercepted: Element <div class=""card-box module-card"">...</div> is not clickable at point (234, 402). Other element would receive the click: <div id=""responseModal"" tabindex=""-1"" role=""dialog"" aria-labelledby=""successModalLabel"" class=""modal fade modal-res modal-warning show"" aria-modal=""true"" style=""display: block;"">...</div>
  (Session info: chrome=141.0.7390.77)
Stacktrace:
	GetHandleVerifier [0x0x7ff79df0e9e5+80021]
	GetHandleVerifier [0x0x7ff79df0ea40+80112]
	(No symbol) [0x0x7ff79dc9060f]
	(No symbol) [0x0x7ff79dcf0a39]
	(No symbol) [0x0x7ff79dcee3be]
	(No symbol) [0x0x7ff79dceb2e1]
	(No symbol) [0x0x7ff79dcea1a0]
	(No symbol) [0x0x7ff79dcdb7c8]
	(No symbol) [0x0x7ff79dd1122a]
	(No symbol) [0x0x7ff79dcdb056]
	(No symbol) [0x0x7ff79dd11440]
	(No symbol) [0x0x7ff79dd3968a]
	(No symbol) [0x0x7ff79dd11003]
	(No symbol) [0x0x7ff79dcd95d1]
	(No symbol) [0x0x7ff79dcda3f3]
	GetHandleVerifier [0x0x7ff79e1cdd8d+2960445]
	GetHandleVerifier [0x0x7ff79e1c804a+2936570]
	GetHandleVerifier [0x0x7ff79e1e8a87+3070263]
	GetHandleVerifier [0x0x7ff79df284ce+185214]
	GetHandleVerifier [0x0x7ff79df2ff1f+216527]
	GetHandleVerifier [0x0x7ff79df17c24+117460]
	GetHandleVerifier [0x0x7ff79df17ddf+117903]
	GetHandleVerifier [0x0x7ff79defdcb8+11112]
	BaseThreadInitThunk [0x0x7ffc5d67e8d7+23]
	RtlUserThreadStart [0x0x7ffc5f0ec53c+44]
"
3,1,08341,error,06:49:46.669,"Message: 
"
4,1,08341,error,06:49:59.741,"Message: element click intercepted: Element <div class=""card-box module-card"">...</div> is not clickable at point (234, 402). Other element would receive the click: <div id=""responseModal"" tabindex=""-1"" role=""dialog"" aria-labelledby=""successModalLabel"" class=""modal fade modal-res modal-warning show"" aria-modal=""true"" style=""display: block;"">...</div>
  (Session info: chrome=141.0.7390.77)
Stacktrace:
	GetHandleVerifier [0x0x7ff79df0e9e5+80021]
	GetHandleVerifier [0x0x7ff79df0ea40+80112]
	(No symbol) [0x0x7ff79dc9060f]
	(No symbol) [0x0x7ff79dcf0a39]
	(No symbol) [0x0x7ff79dcee3be]
	(No symbol) [0x0x7ff79dceb2e1]
	(No symbol) [0x0x7ff79dcea1a0]
	(No symbol) [0x0x7ff79dcdb7c8]
	(No symbol) [0x0x7ff79dd1122a]
	(No symbol) [0x0x7ff79dcdb056]
	(No symbol) [0x0x7ff79dd11440]
	(No symbol) [0x0x7ff79dd3968a]
	(No symbol) [0x0x7ff79dd11003]
	(No symbol) [0x0x7ff79dcd95d1]
	(No symbol) [0x0x7ff79dcda3f3]
	GetHandleVerifier [0x0x7ff79e1cdd8d+2960445]
	GetHandleVerifier [0x0x7ff79e1c804a+2936570]
	GetHandleVerifier [0x0x7ff79e1e8a87+3070263]
	GetHandleVerifier [0x0x7ff79df284ce+185214]
	GetHandleVerifier [0x0x7ff79df2ff1f+216527]
	GetHandleVerifier [0x0x7ff79df17c24+117460]
	GetHandleVerifier [0x0x7ff79df17ddf+117903]
	GetHandleVerifier [0x0x7ff79defdcb8+11112]
	BaseThreadInitThunk [0x0x7ffc5d67e8d7+23]
	RtlUserThreadStart [0x0x7ffc5f0ec53c+44]
"
5,1,08341,error,06:50:33.343,"Message: 
"
6,1,08341,error,06:51:07.129,"Message: 
"
7,1,08341,error,06:51:42.698,"Message: 
"
8,1,08341,error,06:52:17.247,"Message: 
"
9,1,08341,error,06:52:51.192,"Message: 
"
10,1,08341,error,06:53:26.036,"Message: 
"
